repo,fork_default_branch,vs_upstream_main_status,commits_ahead_of_upstream_main,commits_behind_upstream_main,branches_on_fork_not_on_upstream,branches_on_upstream_not_on_fork,compare_error,fork_pushed_at,fork_stars
jyehn/vphone-cli,main,identical,0,0,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-30T09:28:00Z,0
hjxh999/vphone-cli,main,identical,0,0,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-30T09:28:00Z,0
hotkingda/vphone-cli,main,identical,0,0,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-30T09:28:00Z,0
notifymsg/vphone-cli,main,identical,0,0,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-30T09:28:00Z,0
hexploitable/vphone-cli,main,identical,0,0,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-30T09:28:00Z,0
aLamentation/vphone-cli,main,identical,0,0,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-30T09:28:00Z,0
matteyeux/vphone-cli,main,diverged,1,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-30T08:45:14Z,2
zy1911/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-27T10:32:26Z,0
FaSxxf/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-27T10:32:26Z,0
Charlesonr/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-27T10:32:26Z,0
bbccdd2077/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-27T10:32:26Z,0
eagle518/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-27T10:32:26Z,0
Aoyoooo/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-27T10:32:26Z,0
mikanovasa-del/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-27T10:32:26Z,0
szjhtz/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-27T10:32:26Z,0
smoonthsky/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-27T10:32:26Z,0
liudaox/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-27T10:32:26Z,0
sharkmabin/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-27T10:32:26Z,0
cjckkk/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-27T10:32:26Z,0
dian003/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-27T10:32:26Z,0
charleyzhu/vphone-cli,main,behind,0,3,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-26T15:54:23Z,0
yuyu996688/vphone-cli,main,behind,0,3,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-26T15:54:23Z,0
zac-ai-commits/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-27T14:21:02Z,0
fuckgm/vphone-cli,main,behind,0,5,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-23T21:19:29Z,0
Irek90s/vphone-cli,main,behind,0,5,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-23T21:19:29Z,0
tmallhk/vphone-cli,main,behind,0,5,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-23T21:19:29Z,0
cappuccinoassasino/vphone-cli,main,behind,0,5,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-23T21:19:29Z,0
ArtiNexus/vphone-cli,main,behind,0,5,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-23T21:19:29Z,0
hutangfei/vphone-cli,main,behind,0,5,,,,2026-04-23T21:19:29Z,0
mcutools/vphone-cli,main,behind,0,5,,,,2026-04-23T21:19:29Z,0
hengsombo/vphone-cli,main,behind,0,8,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-21T20:37:07Z,0
LeinahI/vphone-cli,main,behind,0,8,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-21T20:37:07Z,0
